Index;acousticness;album;artist_popularity;artists;danceability;disc_number;duration_ms;energy;explicit;followers;genres;instrumentalness;key;liveness;loudness;mode;name;popularity;release_date;speechiness;tempo;track_number;uri;valence
52;0.0297;Rest;53;Charlotte Gainsbourg;0.461;1;364986;0.545;FALSE;173649;art pop;0.0471;11;0.0928;-8.166;1;Deadly Valentine;54;17.11.2017;0.046;104.97;4;spotify:track:0pfTlQJBOV4LUmF8qqrVy5;0.408
53;0.15;The Wall (Remastered);84;Pink Floyd;0.472;1;382296;0.366;FALSE;13203871;album rock;0.308;11;0.0837;-12.595;0;Comfortably Numb - 2011 Remastered Version;68;30.11.1979;0.0286;127.167;19;spotify:track:7Fg4jpwpkdkGCvq1rrXnvx;0.171
54;0.0632;Dire Straits;79;Dire Straits;0.73;1;350400;0.868;FALSE;4005783;album rock;0.0661;5;0.318;-7.325;1;Sultans of Swing;67;07.10.1978;0.0288;148.217;6;spotify:track:6cr6UDpkjEaMQ80OjWqEBQ;0.923
55;0.000541;Love Will Tear Us Apart;70;Joy Division;0.527;1;208453;0.923;FALSE;1481594;alternative rock;0.765;2;0.127;-7.458;1;Love Will Tear Us Apart - 2020 Remaster;68;01.06.1980;0.0379;146.924;1;spotify:track:34iOH7LY3vme5rQxsVILZ4;0.899
56;0.228;Sticky Fingers (Deluxe);84;The Rolling Stones;0.638;1;228666;0.931;FALSE;9328295;album rock;0.000295;0;0.0524;-3.605;1;Brown Sugar;0;23.04.1971;0.0363;128.662;1;spotify:track:5EcvzboYmDIfXo9gPplsSB;0.965
57;0.942;Bon Iver;81;Bon Iver;0.379;1;336613;0.306;FALSE;2787819;eau claire indie;0.323;1;0.123;-14.446;1;Holocene;67;21.05.2011;0.0305;147.902;3;spotify:track:05lBuZWQ2OhQuzoCSIkvUF;0.157
58;0.979;For Emma, Forever Ago;81;Bon Iver;0.682;1;401426;0.0822;FALSE;2787819;eau claire indie;0.372;2;0.125;-22.893;1;re:stacks;61;12.05.2008;0.0414;125.09;9;spotify:track:6EhAIEtuOABhRJ17NjDVjL;0.295
59;0.438;For Emma;81;Bon Iver;0.665;1;218973;0.717;FALSE;2787819;eau claire indie;0.259;0;0.15;-7.796;1;For Emma;4;15.09.2008;0.0354;110.651;1;spotify:track:5PuJeI166oOmNLsstMujmw;0.566
60;0.964;Blood Bank;81;Bon Iver;0.494;1;285160;0.372;FALSE;2787819;eau claire indie;0.0296;7;0.117;-11.89;1;Blood Bank;63;20.01.2009;0.0331;116.855;1;spotify:track:7qUoDTmVj07qUf6ZBDhWKl;0.25
61;0.929;Spotify Sessions;65;Band of Horses;0.547;1;239080;0.188;FALSE;835031;indie folk;1.20E-06;1;0.714;-10.676;1;No One's Gonna Love You - Live from Spotify Sweden;50;02.11.2012;0.036;135.657;5;spotify:track:5MYfpFJYm8WNFGssR6H2Oz;0.192
